NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
H2,3183233.05242433,1276820.1927385298,5359475.167053268,20.832187560416678,15.135470226041818,0.0,4,5
H3,3183236.0008051866,1276823.5675086847,5359472.62924381,23.859281660416677,10.969032726041817,0.0,6,7
H4,3183238.9491860624,1276826.9422787423,5359470.091434363,26.886375660416682,6.8025952260418165,0.0,8,9
H5,3183227.5620658267,1276806.3165972894,5359481.688837199,7.584467960416681,24.607688726041815,0.0,10,11
H6,3183230.5104467026,1276809.691367347,5359479.151027752,10.611561960416687,20.441251226041814,0.0,12,13
H7,3183233.458827559,1276813.066137502,5359476.6132182935,13.638656060416679,16.274813726041813,0.0,14,15
H8,3183236.407208435,1276816.4409075598,5359474.075408847,16.665750060416677,12.108376226041813,0.0,16,17
H9,3183239.3555892915,1276819.8156777148,5359471.5375993885,19.692844160416676,7.941938726041812,0.0,18,19
H10,3183242.3039702517,1276823.1904477826,5359468.99978989,22.71993816041668,3.775501126041803,0.0,20,21
H11,3183245.2523511085,1276826.5652179378,5359466.461980431,25.74703226041668,-0.3909363739581977,0.0,22,23
H12,3183227.968469075,1276799.1899961643,5359483.135002237,0.39093636041668134,25.74703222604181,0.0,24,25
H13,3183230.9168499317,1276802.5647663195,5359480.597192778,3.418030460416688,21.58059472604181,0.0,26,27
H14,3183233.8652308076,1276805.939536377,5359478.059383332,6.445124460416686,17.41415722604181,0.0,28,29
H15,3183236.8136117486,1276809.3143065423,5359475.52157382,9.472218560416678,13.2477196260418,0.0,30,31
H16,3183239.7619926245,1276812.6890766,5359472.983764374,12.499312560416676,9.081282126041799,0.0,32,33
H17,3183242.710373481,1276816.063846755,5359470.445954915,15.526406660416676,4.914844626041798,0.0,34,35
H18,3183245.6587543567,1276819.4386168127,5359467.908145469,18.55350066041668,0.7484071260417977,0.0,36,37
H19,3183248.6071352134,1276822.8133869676,5359465.37033601,21.58059476041668,-3.418030373958203,0.0,38,39
H20,3183251.5555161736,1276826.1881570355,5359462.8325265115,24.60768876041668,-7.584467973958198,0.0,40,41
H21,3183228.374872323,1276792.0633950392,5359484.581167274,-6.802595239583322,26.886375726041805,0.0,42,43
H22,3183231.32325318,1276795.4381651944,5359482.043357816,-3.7755011395833193,22.719938226041805,0.0,44,45
H23,3183234.27163414,1276798.8129352622,5359479.505548316,-0.7484071395833176,18.55350062604181,0.0,46,47
H24,3183237.220014997,1276802.1877054172,5359476.967738858,2.278686960416678,14.38706312604181,0.0,48,49
H25,3183240.1683958727,1276805.5624754748,5359474.429929411,5.3057809604166835,10.220625626041809,0.0,50,51
H26,3183243.1167767295,1276808.93724563,5359471.892119953,8.332875060416676,6.054188126041808,0.0,52,53
H27,3183246.065157605,1276812.3120156876,5359469.354310506,11.359969060416681,1.8877506260418073,0.0,54,55
H28,3183249.0135385464,1276815.6867858528,5359466.816500995,14.38706316041668,-2.2786869739581874,0.0,56,57
H29,3183251.961919422,1276819.0615559104,5359464.278691549,17.41415716041668,-6.445124473958188,0.0,58,59
H30,3183254.9103002786,1276822.4363260656,5359461.74088209,20.441251260416685,-10.611561973958189,0.0,60,61
H31,3183257.8586811544,1276825.8110961232,5359459.203072644,23.468345260416683,-14.77799947395819,0.0,62,63
H32,3183231.729656513,1276788.3115640795,5359483.489522801,-10.969032739583323,23.859281626041792,0.0,64,65
H33,3183234.6780373696,1276791.6863342347,5359480.951713342,-7.94193863958332,19.69284412604179,0.0,66,67
H34,3183237.626418245,1276795.0611042923,5359478.413903896,-4.914844639583322,15.526406626041805,0.0,68,69
H35,3183240.574799102,1276798.4358744472,5359475.876094437,-1.887750539583326,11.359969126041804,0.0,70,71
H36,3183243.523180062,1276801.810644515,5359473.338284939,1.1393434604166757,7.193531526041809,0.0,72,73
H37,3183246.4715609187,1276805.1854146703,5359470.80047548,4.166437560416675,3.0270940260418087,0.0,74,75
H38,3183249.4199417946,1276808.560184728,5359468.262666034,7.19353156041668,-1.139343473958192,0.0,76,77
H39,3183252.3683226514,1276811.9349548828,5359465.724856575,10.22062566041668,-5.305780973958193,0.0,78,79
H40,3183255.316703527,1276815.3097249405,5359463.187047129,13.247719660416678,-9.472218473958193,0.0,80,81
H41,3183258.2650844683,1276818.6844951059,5359460.649237617,16.274813760416684,-13.638656073958188,0.0,82,83
H42,3183261.2134653437,1276822.0592651635,5359458.11142817,19.301907760416682,-17.80509357395819,0.0,84,85
H43,3183235.084440618,1276784.5597331095,5359482.39787838,-15.135470239583324,20.8321876260418,0.0,86,87
H44,3183238.032821493,1276787.9345031672,5359479.860068933,-12.108376239583322,16.6657501260418,0.0,88,89
H45,3183240.9812024347,1276791.3092733324,5359477.322259422,-9.081282139583319,12.499312526041805,0.0,90,91
H46,3183243.92958331,1276794.68404339,5359474.784449976,-6.054188139583321,8.332875026041805,0.0,92,93
H47,3183246.877964167,1276798.0588135452,5359472.246640517,-3.027094039583325,4.166437526041804,0.0,94,95
H48,3183252.7747258996,1276804.808353758,5359467.171021612,3.0270940604166867,-4.166437473958183,0.0,96,97
H49,3183255.7231068597,1276808.1831238256,5359464.633212113,6.054188060416678,-8.332875073958192,0.0,98,99
H50,3183258.6714877165,1276811.5578939808,5359462.095402655,9.081282160416677,-12.499312573958193,0.0,100,101
H51,3183261.619868592,1276814.9326640384,5359459.557593208,12.108376160416675,-16.665750073958193,0.0,102,103
H52,3183264.5682494487,1276818.3074341936,5359457.01978375,15.135470260416682,-20.832187573958194,0.0,104,105
H53,3183238.439224807,1276780.8079021499,5359481.306233906,-19.30190773958332,17.8050935260418,0.0,106,107
H54,3183241.387605683,1276784.1826722075,5359478.76842446,-16.274813739583323,13.6386560260418,0.0,108,109
H55,3183244.3359865397,1276787.5574423624,5359476.230615001,-13.24771963958332,9.4722185260418,0.0,110,111
H56,3183247.284367415,1276790.93221242,5359473.692805555,-10.220625639583321,5.3057810260417995,0.0,112,113
H57,3183250.2327483566,1276794.3069825855,5359471.154996044,-7.193531539583322,1.1393434260418047,0.0,114,115
H58,3183253.181129232,1276797.681752643,5359468.617186598,-4.16643753958332,-3.0270940739581818,0.0,116,117
H59,3183256.129510089,1276801.056522798,5359466.079377139,-1.1393434395833175,-7.193531573958182,0.0,118,119
H60,3183259.0778909647,1276804.4312928556,5359463.5415676925,1.8877505604166842,-11.35996907395819,0.0,120,121
H61,3183262.0262718215,1276807.8060630108,5359461.003758234,4.9148446604166764,-15.526406573958191,0.0,122,123
H62,3183264.9746527816,1276811.1808330787,5359458.465948735,7.941938660416682,-19.692844173958193,0.0,124,125
H63,3183267.9230336384,1276814.5556032336,5359455.928139277,10.969032760416681,-23.859281673958193,0.0,126,127
H64,3183241.794008912,1276777.0560711797,5359480.214589485,-23.46834523958332,14.77799952604181,0.0,128,129
H65,3183244.742389788,1276780.4308412373,5359477.6767800385,-20.441251239583323,10.61156202604181,0.0,130,131
H66,3183247.690770748,1276783.8056113052,5359475.13897054,-17.41415723958332,6.445124426041815,0.0,132,133
H67,3183250.639151605,1276787.1803814603,5359472.601161081,-14.387063139583322,2.2786869260418143,0.0,134,135
H68,3183253.5875324807,1276790.555151518,5359470.063351635,-11.35996913958332,-1.8877505739581864,0.0,136,137
H69,3183256.535913337,1276793.929921673,5359467.525542176,-8.332875039583321,-6.054188073958201,0.0,138,139
H70,3183259.484294213,1276797.3046917305,5359464.98773273,-5.305781039583323,-10.220625573958195,0.0,140,141
H71,3183262.432675154,1276800.679461896,5359462.449923219,-2.27868693958332,-14.387063173958197,0.0,142,143
H72,3183265.38105603,1276804.0542319536,5359459.912113773,0.7484070604166817,-18.553500673958197,0.0,144,145
H73,3183268.3294368866,1276807.4290021085,5359457.374304314,3.775501160416681,-22.71993817395819,0.0,146,147
H74,3183271.277817762,1276810.8037721661,5359454.836494868,6.802595160416679,-26.88637567395819,0.0,148,149
H75,3183248.097173977,1276776.6790102776,5359476.585135565,-24.60768873958332,7.58446792604181,0.0,150,151
H76,3183251.045554853,1276780.0537803352,5359474.047326119,-21.58059473958332,3.4180304260418097,0.0,152,153
H77,3183253.99393571,1276783.4285504904,5359471.50951666,-18.553500639583323,-0.748407073958191,0.0,154,155
H78,3183256.94231667,1276786.803320558,5359468.9717071615,-15.526406639583321,-4.9148446739582,0.0,156,157
H79,3183259.8906975267,1276790.1780907132,5359466.433897703,-12.499312539583322,-9.0812821739582,0.0,158,159
H80,3183262.8390784026,1276793.5528607708,5359463.8960882565,-9.472218539583324,-13.247719673958194,0.0,160,161
H81,3183265.787459259,1276796.927630926,5359461.358278798,-6.445124439583321,-17.414157173958195,0.0,162,163
H82,3183268.735840135,1276800.3024009836,5359458.8204693515,-3.418030439583319,-21.580594673958196,0.0,164,165
H83,3183271.684221076,1276803.6771711488,5359456.282659841,-0.39093633958332674,-25.74703227395819,0.0,166,167
H84,3183254.400339043,1276776.3019493755,5359472.955681645,-25.74703223958332,0.3909363260417962,0.0,168,169
H85,3183257.348719899,1276779.6767195305,5359470.417872187,-22.71993813958332,-3.7755011739582045,0.0,170,171
H86,3183260.297100775,1276783.051489588,5359467.88006274,-19.692844139583322,-7.941938673958205,0.0,172,173
H87,3183263.2454816317,1276786.4262597433,5359465.342253282,-16.665750039583322,-12.108376173958199,0.0,174,175
H88,3183266.193862507,1276789.801029801,5359462.804443835,-13.638656039583324,-16.2748136739582,0.0,176,177
H89,3183269.1422434486,1276793.175799966,5359460.266634325,-10.611561939583321,-20.441251273958187,0.0,178,179
H90,3183272.090624324,1276796.5505700237,5359457.728824878,-7.584467939583323,-24.607688773958188,0.0,180,181
H91,3183260.703504023,1276775.9248884632,5359469.326227778,-26.886375739583322,-6.802595173958196,0.0,182,183
H92,3183263.6518849647,1276779.2996586284,5359466.788418267,-23.859281639583322,-10.96903277395819,0.0,184,185
H93,3183266.60026584,1276782.674428686,5359464.2506088205,-20.83218763958332,-15.135470273958184,0.0,186,187
H94,3183269.548646697,1276786.0491988412,5359461.712799362,-17.805093539583325,-19.301907773958185,0.0,188,189
H95,3183272.4970275727,1276789.4239688988,5359459.174989915,-14.777999539583323,-23.468345273958185,0.0,190,191
CHBA,3183249.826345057,1276801.433583644,5359469.708831052,-7.105427357601002e-15,0.0,0.0,-1,-1
